seed,target,attack,fpr,tpr
1,Non-private (overfit),confidence,0.03162277660168379,0.020833333333333332
1,Non-private (overfit),confidence,0.033838551534282335,0.021666666666666667
1,Non-private (overfit),confidence,0.03620958350245917,0.02375
1,Non-private (overfit),confidence,0.03874675120456132,0.024166666666666666
1,Non-private (overfit),confidence,0.04146169559796819,0.027916666666666666
1,Non-private (overfit),confidence,0.044366873309786115,0.03
1,Non-private (overfit),confidence,0.047475613789974204,0.03375
1,Non-private (overfit),confidence,0.05080218046913023,0.03666666666666667
1,Non-private (overfit),confidence,0.05436183620153837,0.04041666666666666
1,Non-private (overfit),confidence,0.058170913293743576,0.042916666666666665
1,Non-private (overfit),confidence,0.0622468884399544,0.04541666666666667
1,Non-private (overfit),confidence,0.06660846290809161,0.04833333333333333
1,Non-private (overfit),confidence,0.07127564834438914,0.05291666666666667
1,Non-private (overfit),confidence,0.07626985859023444,0.05875
1,Non-private (overfit),confidence,0.08161400793251826,0.0625
1,Non-private (overfit),confidence,0.08733261623828428,0.06833333333333333
1,Non-private (overfit),confidence,0.09345192145605374,0.07416666666666667
1,Non-private (overfit),confidence,0.1,0.08
1,Non-private (overfit),confidence,0.10700689556931746,0.0875
1,Non-private (overfit),confidence,0.11450475699382812,0.09458333333333334
1,Non-private (overfit),confidence,0.12252798573828651,0.10416666666666667
1,Non-private (overfit),confidence,0.13111339374215644,0.11125
1,Non-private (overfit),confidence,0.14030037231905734,0.12541666666666668
1,Non-private (overfit),confidence,0.15013107289081729,0.13625
1,Non-private (overfit),confidence,0.16065060038537288,0.14916666666666667
1,Non-private (overfit),confidence,0.17190722018585747,0.16083333333333333
1,Non-private (overfit),confidence,0.18395257958039712,0.17916666666666667
1,Non-private (overfit),confidence,0.19684194472866112,0.19041666666666668
1,Non-private (overfit),confidence,0.210634454232412,0.20583333333333334
1,Non-private (overfit),confidence,0.22539339047347912,0.21916666666666668
1,Non-private (overfit),confidence,0.24118646996409973,0.2325
1,Non-private (overfit),confidence,0.2580861540418074,0.24833333333333332
1,Non-private (overfit),confidence,0.27616998133438464,0.2658333333333333
1,Non-private (overfit),confidence,0.2955209235202888,0.28125
1,Non-private (overfit),confidence,0.31622776601683794,0.30375
1,Non-private (overfit),confidence,0.33838551534282335,0.3325
1,Non-private (overfit),confidence,0.36209583502459164,0.3545833333333333
1,Non-private (overfit),confidence,0.3874675120456132,0.38416666666666666
1,Non-private (overfit),confidence,0.4146169559796819,0.41
1,Non-private (overfit),confidence,0.44366873309786115,0.44375
1,Non-private (overfit),confidence,0.474756137899742,0.4716666666666667
1,Non-private (overfit),confidence,0.5080218046913023,0.5
1,Non-private (overfit),confidence,0.5436183620153837,0.53875
1,Non-private (overfit),confidence,0.5817091329374358,0.5783333333333334
1,Non-private (overfit),confidence,0.622468884399544,0.6175
1,Non-private (overfit),confidence,0.6660846290809154,0.6666666666666666
1,Non-private (overfit),confidence,0.7127564834438914,0.7095833333333333
1,Non-private (overfit),confidence,0.7626985859023444,0.7654166666666666
1,Non-private (overfit),confidence,0.8161400793251826,0.8208333333333333
1,Non-private (overfit),confidence,0.8733261623828429,0.8783333333333333
1,Non-private (overfit),confidence,0.9345192145605374,0.9304166666666667
1,Non-private (overfit),confidence,1.0,1.0
1,Non-private (overfit),neg_entropy,0.00031622776601683794,0.00025338763302631246
1,Non-private (overfit),neg_entropy,0.00033838551534282334,0.00027114223985803154
1,Non-private (overfit),neg_entropy,0.0003620958350245917,0.00029014089344919205
1,Non-private (overfit),neg_entropy,0.0003874675120456132,0.0003104707628570619
1,Non-private (overfit),neg_entropy,0.0004146169559796819,0.00033222512498371946
1,Non-private (overfit),neg_entropy,0.0004436687330978611,0.0003555037925463631
1,Non-private (overfit),neg_entropy,0.00047475613789974203,0.0003804135720350497
1,Non-private (overfit),neg_entropy,0.0005080218046913023,0.0004070687537590564
1,Non-private (overfit),neg_entropy,0.0005436183620153838,0.0004355916362302755
1,Non-private (overfit),neg_entropy,0.0005817091329374358,0.00046611308728961205
1,Non-private (overfit),neg_entropy,0.000622468884399544,0.0004987731445509167
1,Non-private (overfit),neg_entropy,0.0006660846290809161,0.0005337216579174007
1,Non-private (overfit),neg_entropy,0.0007127564834438914,0.0005711189771185028
1,Non-private (overfit),neg_entropy,0.0007626985859023443,0.0006111366874217504
1,Non-private (overfit),neg_entropy,0.0008161400793251826,0.0006539583968951785
1,Non-private (overfit),neg_entropy,0.0008733261623828437,0.0006997805788324069
1,Non-private (overfit),neg_entropy,0.0009345192145605374,0.0007488134732055588
1,Non-private (overfit),neg_entropy,0.001,0.0008012820512820514
1,Non-private (overfit),neg_entropy,0.0010700689556931745,0.0008574270478310694
1,Non-private (overfit),neg_entropy,0.0011450475699382812,0.000917506065655674
1,Non-private (overfit),neg_entropy,0.0012252798573828651,0.0009817947575183215
1,Non-private (overfit),neg_entropy,0.0013111339374215643,0.0010505880908826637
1,Non-private (overfit),neg_entropy,0.0014030037231905735,0.0011242017012744981
1,Non-private (overfit),neg_entropy,0.0015013107289081743,0.0012029733404712935
1,Non-private (overfit),neg_entropy,0.0016065060038537287,0.0012872644261648469
1,Non-private (overfit),neg_entropy,0.0017190722018585747,0.0013774617002071912
1,Non-private (overfit),neg_entropy,0.0018395257958039712,0.0014739790030480538
1,Non-private (overfit),neg_entropy,0.0019684194472866113,0.0015772591725052975
1,Non-private (overfit),neg_entropy,0.00210634454232412,0.0016877760755802246
1,Non-private (overfit),neg_entropy,0.002253933904734791,0.001806036782640057
1,Non-private (overfit),neg_entropy,0.002411864699640997,0.0019325838939431067
1,Non-private (overfit),neg_entropy,0.0025808615404180743,0.0020679980291811494
1,Non-private (overfit),neg_entropy,0.002761699813343849,0.002212900491461418
1,Non-private (overfit),neg_entropy,0.002955209235202888,0.0023679561179510322
1,Non-private (overfit),neg_entropy,0.0031622776601683794,0.0025338763302631246
1,Non-private (overfit),neg_entropy,0.003383855153428233,0.0027114223985803152
1,Non-private (overfit),neg_entropy,0.0036209583502459165,0.0029014089344919203
1,Non-private (overfit),neg_entropy,0.0038746751204561283,0.0031047076285706156
1,Non-private (overfit),neg_entropy,0.004146169559796819,0.003322251249837195
1,Non-private (overfit),neg_entropy,0.004436687330978612,0.003555037925463631
1,Non-private (overfit),neg_entropy,0.004747561378997425,0.003804135720350501
1,Non-private (overfit),neg_entropy,0.005080218046913023,0.004070687537590563
1,Non-private (overfit),neg_entropy,0.005436183620153837,0.004355916362302754
1,Non-private (overfit),neg_entropy,0.005817091329374358,0.00466113087289612
1,Non-private (overfit),neg_entropy,0.006224688843995439,0.0049877314455091665
1,Non-private (overfit),neg_entropy,0.006660846290809154,0.005337216579174002
1,Non-private (overfit),neg_entropy,0.007127564834438914,0.0057111897711850275
1,Non-private (overfit),neg_entropy,0.007626985859023444,0.006111366874217503
1,Non-private (overfit),neg_entropy,0.008161400793251826,0.006539583968951784
1,Non-private (overfit),neg_entropy,0.008733261623828438,0.006997805788324069
1,Non-private (overfit),neg_entropy,0.009345192145605374,0.0074881347320555885
1,Non-private (overfit),neg_entropy,0.01,0.008012820512820514
1,Non-private (overfit),neg_entropy,0.010700689556931747,0.008574270478310695
1,Non-private (overfit),neg_entropy,0.011450475699382817,0.009175060656556745
1,Non-private (overfit),neg_entropy,0.012252798573828645,0.009817947575183209
1,Non-private (overfit),neg_entropy,0.013111339374215644,0.010456430728886539
1,Non-private (overfit),neg_entropy,0.014030037231905735,0.010784537106633
1,Non-private (overfit),neg_entropy,0.015013107289081735,0.011135633555624429
1,Non-private (overfit),neg_entropy,0.01606506003853728,0.01125
1,Non-private (overfit),neg_entropy,0.017190722018585746,0.011666666666666667
1,Non-private (overfit),neg_entropy,0.01839525795803971,0.012916666666666667
1,Non-private (overfit),neg_entropy,0.019684194472866123,0.01375
1,Non-private (overfit),neg_entropy,0.02106344542324121,0.014583333333333334
1,Non-private (overfit),neg_entropy,0.022539339047347912,0.014583333333333334
1,Non-private (overfit),neg_entropy,0.024118646996409972,0.015
1,Non-private (overfit),neg_entropy,0.02580861540418074,0.017083333333333332
1,Non-private (overfit),neg_entropy,0.02761699813343848,0.018333333333333333
1,Non-private (overfit),neg_entropy,0.029552092352028863,0.020416666666666666
1,Non-private (overfit),neg_entropy,0.03162277660168379,0.020833333333333332
1,Non-private (overfit),neg_entropy,0.033838551534282335,0.021666666666666667
1,Non-private (overfit),neg_entropy,0.03620958350245917,0.02375
1,Non-private (overfit),neg_entropy,0.03874675120456132,0.024166666666666666
1,Non-private (overfit),neg_entropy,0.04146169559796819,0.027916666666666666
1,Non-private (overfit),neg_entropy,0.044366873309786115,0.03
1,Non-private (overfit),neg_entropy,0.047475613789974204,0.03375
1,Non-private (overfit),neg_entropy,0.05080218046913023,0.03666666666666667
1,Non-private (overfit),neg_entropy,0.05436183620153837,0.04041666666666666
1,Non-private (overfit),neg_entropy,0.058170913293743576,0.042916666666666665
1,Non-private (overfit),neg_entropy,0.0622468884399544,0.04541666666666667
1,Non-private (overfit),neg_entropy,0.06660846290809161,0.04833333333333333
1,Non-private (overfit),neg_entropy,0.07127564834438914,0.05291666666666667
1,Non-private (overfit),neg_entropy,0.07626985859023444,0.05875
1,Non-private (overfit),neg_entropy,0.08161400793251826,0.0625
1,Non-private (overfit),neg_entropy,0.08733261623828428,0.06833333333333333
1,Non-private (overfit),neg_entropy,0.09345192145605374,0.07416666666666667
1,Non-private (overfit),neg_entropy,0.1,0.08
1,Non-private (overfit),neg_entropy,0.10700689556931746,0.0875
1,Non-private (overfit),neg_entropy,0.11450475699382812,0.09458333333333334
1,Non-private (overfit),neg_entropy,0.12252798573828651,0.10416666666666667
1,Non-private (overfit),neg_entropy,0.13111339374215644,0.11125
1,Non-private (overfit),neg_entropy,0.14030037231905734,0.12541666666666668
1,Non-private (overfit),neg_entropy,0.15013107289081729,0.13625
1,Non-private (overfit),neg_entropy,0.16065060038537288,0.14916666666666667
1,Non-private (overfit),neg_entropy,0.17190722018585747,0.16083333333333333
1,Non-private (overfit),neg_entropy,0.18395257958039712,0.17916666666666667
1,Non-private (overfit),neg_entropy,0.19684194472866112,0.19041666666666668
1,Non-private (overfit),neg_entropy,0.210634454232412,0.20583333333333334
1,Non-private (overfit),neg_entropy,0.22539339047347912,0.21916666666666668
1,Non-private (overfit),neg_entropy,0.24118646996409973,0.2325
1,Non-private (overfit),neg_entropy,0.2580861540418074,0.24833333333333332
1,Non-private (overfit),neg_entropy,0.27616998133438464,0.2658333333333333
1,Non-private (overfit),neg_entropy,0.2955209235202888,0.28125
1,Non-private (overfit),neg_entropy,0.31622776601683794,0.30375
1,Non-private (overfit),neg_entropy,0.33838551534282335,0.3325
1,Non-private (overfit),neg_entropy,0.36209583502459164,0.3545833333333333
1,Non-private (overfit),neg_entropy,0.3874675120456132,0.38416666666666666
1,Non-private (overfit),neg_entropy,0.4146169559796819,0.41
1,Non-private (overfit),neg_entropy,0.44366873309786115,0.44375
1,Non-private (overfit),neg_entropy,0.474756137899742,0.4716666666666667
1,Non-private (overfit),neg_entropy,0.5080218046913023,0.5
1,Non-private (overfit),neg_entropy,0.5436183620153837,0.53875
1,Non-private (overfit),neg_entropy,0.5817091329374358,0.5783333333333334
1,Non-private (overfit),neg_entropy,0.622468884399544,0.6175
1,Non-private (overfit),neg_entropy,0.6660846290809154,0.6666666666666666
1,Non-private (overfit),neg_entropy,0.7127564834438914,0.7095833333333333
1,Non-private (overfit),neg_entropy,0.7626985859023444,0.7654166666666666
1,Non-private (overfit),neg_entropy,0.8161400793251826,0.8208333333333333
1,Non-private (overfit),neg_entropy,0.8733261623828429,0.8783333333333333
1,Non-private (overfit),neg_entropy,0.9345192145605374,0.9304166666666667
1,Non-private (overfit),neg_entropy,1.0,1.0
1,Non-private (overfit),yeom_neg_loss,0.00031622776601683794,0.0004166666666666667
1,Non-private (overfit),yeom_neg_loss,0.00033838551534282334,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.0003620958350245917,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.0003874675120456132,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.0004146169559796819,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.0004436687330978611,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.00047475613789974203,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.0005080218046913023,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.0005436183620153838,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.0005817091329374358,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.000622468884399544,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.0006660846290809161,0.0008333333333333334
1,Non-private (overfit),yeom_neg_loss,0.0007127564834438914,0.0016666666666666668
1,Non-private (overfit),yeom_neg_loss,0.0007626985859023443,0.0016666666666666668
1,Non-private (overfit),yeom_neg_loss,0.0008161400793251826,0.0016666666666666668
1,Non-private (overfit),yeom_neg_loss,0.0008733261623828437,0.0016666666666666668
1,Non-private (overfit),yeom_neg_loss,0.0009345192145605374,0.0016666666666666668
1,Non-private (overfit),yeom_neg_loss,0.001,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0010700689556931745,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0011450475699382812,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0012252798573828651,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0013111339374215643,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0014030037231905735,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0015013107289081743,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0016065060038537287,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0017190722018585747,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0018395257958039712,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.0019684194472866113,0.0020833333333333333
1,Non-private (overfit),yeom_neg_loss,0.00210634454232412,0.0025
1,Non-private (overfit),yeom_neg_loss,0.002253933904734791,0.0025
1,Non-private (overfit),yeom_neg_loss,0.002411864699640997,0.002916666666666667
1,Non-private (overfit),yeom_neg_loss,0.0025808615404180743,0.002916666666666667
1,Non-private (overfit),yeom_neg_loss,0.002761699813343849,0.0033333333333333335
1,Non-private (overfit),yeom_neg_loss,0.002955209235202888,0.0033333333333333335
1,Non-private (overfit),yeom_neg_loss,0.0031622776601683794,0.0033333333333333335
1,Non-private (overfit),yeom_neg_loss,0.003383855153428233,0.004166666666666667
1,Non-private (overfit),yeom_neg_loss,0.0036209583502459165,0.004166666666666667
1,Non-private (overfit),yeom_neg_loss,0.0038746751204561283,0.004166666666666667
1,Non-private (overfit),yeom_neg_loss,0.004146169559796819,0.004166666666666667
